file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,getJSMainModuleName/0,false,36,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,getUseDeveloperSupport/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,getPackages/0,false,26,3,1,0,1,1,2,5,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,4,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper,"initializeFlipper/2[com.example.Context,com.example.ReactInstanceManager]",false,28,11,0,0,0,3,8,37,0,3,2,8,0,0,0,1,0,0,0,0,3,0,2,2,0,0,27,9,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainActivity.java,com.example.MainActivity,getMainComponentName/0,false,12,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,true
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,onCreate/0,false,47,1,2,0,2,1,5,5,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,getReactNativeHost/0,false,42,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,"initializeFlipper/2[com.example.Context,com.example.ReactInstanceManager]",false,61,2,1,1,0,6,4,20,0,1,2,4,0,0,0,0,1,0,2,0,1,0,2,0,0,0,34,10,0,true
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,onAssetsObtained/1[java.util.List<com.imagepicker.Uri>],false,162,2,3,1,2,2,4,11,0,0,1,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,14,0,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,"launchImageLibrary/2[com.imagepicker.ReadableMap,com.imagepicker.Callback]",false,116,7,2,0,2,10,10,42,1,6,2,10,0,0,0,2,1,1,6,1,10,0,1,0,0,0,45,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,"launchCamera/2[com.imagepicker.ReadableMap,com.imagepicker.Callback]",false,54,7,8,0,8,11,15,53,4,4,2,15,0,0,0,1,1,0,3,1,13,0,2,0,0,0,58,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,ImagePickerModule/1[com.imagepicker.ReactApplicationContext],true,42,1,1,1,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,onNewIntent/1[com.imagepicker.Intent],false,212,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,"onActivityResult/4[com.imagepicker.Activity,int,int,com.imagepicker.Intent]",false,173,4,6,0,6,10,8,29,2,0,4,8,1,1,0,3,0,1,2,0,0,0,2,0,0,0,44,1,0,false
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,getName/0,false,49,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
