file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\GlyphPathBag.java,com.horcrux.svg.GlyphPathBag,class,4,6,2,4,6,1,0,6,0,0.33333334,0.0,0.0,3,0,0,1,0,2,2,0,0,0,3,0,0,3,0,0,3,0,0,34,3,0,3,0,0,0,13,12,3,8,2,0,0,0,20,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\ClipPathView.java,com.horcrux.svg.ClipPathView,class,9,11,2,9,7,5,0,3,21,0.0,0.0,0.0,7,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,2,1,0,0,0,0,0,0,0,34,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\ForeignObjectView.java,com.horcrux.svg.ForeignObjectView,class,16,18,2,16,20,5,0,30,31,0.8,0.0,0.0,10,0,6,0,2,2,10,0,0,0,6,0,0,0,0,6,0,0,4,92,1,1,1,0,3,6,5,19,1,19,3,0,0,0,68,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,class,29,58,29,29,103,2,2,67,810,0.9496434,0.0,0.0,44,0,13,6,2,23,38,3,0,0,51,4,0,15,0,36,7,0,18,437,37,3,34,0,11,19,41,106,16,89,3,0,0,0,236,1025,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\RNSVGRenderableManager.java,com.horcrux.svg.RNSVGRenderableManager,class,18,19,1,18,34,2,0,34,45,0.9,0.0,0.0,10,0,9,0,0,1,10,0,0,0,2,2,0,2,0,0,2,0,10,193,19,1,14,7,3,37,17,57,16,57,3,0,0,0,105,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\TextProperties.java,com.horcrux.svg.TextProperties$Direction,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\SvgPackage.java,com.horcrux.svg.SvgPackage,class,28,28,0,28,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,46,1,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\TextProperties.java,com.horcrux.svg.TextProperties$TextLengthAdjust,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\Brush.java,com.horcrux.svg.Brush,class,21,27,6,21,31,1,0,22,27,0.7875,0.0,0.0,10,1,0,3,0,7,7,0,0,0,8,0,0,8,0,0,3,0,4,136,5,1,12,0,2,3,33,58,19,52,2,0,2,0,103,0,0
D:\trabCKMetrics\repos\react-native-svgreact-native-svg\android\src\main\java\com\horcrux\svg\PatternView.java,com.horcrux.svg.PatternView,class,16,19,3,16,28,5,0,12,98,0.88839287,0.0,0.0,16,0,14,0,0,2,16,0,0,0,14,1,0,12,0,2,1,0,5,118,1,0,8,0,2,15,15,22,6,18,2,0,0,0,65,0,0
