file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,class,4,5,1,4,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainApplication.java,com.videocaching.MainApplication,class,3,3,0,3,2,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,21,1,0,0,0,0,0,0,1,0,1,0,1,0,0,9,1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\android\vending\expansion\zipfile\APKExpansionSupport.java,com.android.vending.expansion.zipfile.APKExpansionSupport,class,3,6,3,3,11,1,0,13,3,0.6666667,0.0,0.0,3,3,2,0,0,1,3,0,0,0,1,1,0,1,0,0,1,0,2,46,3,1,1,0,0,7,2,13,3,12,4,0,0,0,37,1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\brentvatne\react\ReactVideoView.java,com.brentvatne.react.ReactVideoView$TimedMetaDataAvailableListener,innerclass,8,8,0,8,2,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,3,2,4,1,4,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainActivity.java,com.videocaching.MainActivity,class,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,class,12,15,3,12,26,1,0,15,162,0.90289474,0.0,0.0,21,0,0,1,0,20,20,0,0,0,51,49,0,50,0,1,50,0,0,191,0,1,0,0,0,55,8,74,7,72,3,0,0,0,97,0,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\brentvatne\react\ReactVideoView.java,com.brentvatne.react.ReactVideoView,class,36,39,3,36,112,2,0,109,476,0.9467025,0.0,0.0,41,1,34,4,3,0,37,0,0,0,54,22,22,32,0,0,22,0,4,565,20,2,18,5,3,36,39,132,9,88,4,3,2,0,267,1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous1,anonymous,3,3,0,3,5,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,2,0,0,0,1,3,2,2,2,0,0,0,24,-1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\brentvatne\react\ReactVideoView.java,com.brentvatne.react.ReactVideoView$Events,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,14,0,1,0,1,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\ExoPlayerView.java,com.brentvatne.exoplayer.ExoPlayerView,class,19,22,3,19,31,2,0,32,29,0.79870135,0.0,0.0,14,0,9,5,0,0,9,0,0,0,11,0,0,11,0,0,5,0,0,166,4,1,10,0,0,0,9,18,0,15,2,1,1,0,96,17,0
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
