file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,createDataSource/0,false,17,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,RawResourceDataSourceFactory/1[com.brentvatne.exoplayer.Context],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainApplication.java,com.videocaching.MainApplication,getReactNativeHost/0,false,36,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainApplication.java,com.videocaching.MainApplication,onCreate/0,false,41,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\android\vending\expansion\zipfile\APKExpansionSupport.java,com.android.vending.expansion.zipfile.APKExpansionSupport,getResourceZipFile/1[java.lang.String[]],false,65,1,4,2,2,3,1,12,1,1,1,1,0,0,1,1,0,0,0,0,2,0,2,0,0,0,13,9,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\android\vending\expansion\zipfile\APKExpansionSupport.java,com.android.vending.expansion.zipfile.APKExpansionSupport,"getAPKExpansionFiles/3[com.android.vending.expansion.zipfile.Context,int,int]",false,32,1,1,1,0,7,10,27,1,9,3,10,0,0,0,0,0,0,6,2,9,3,4,0,0,0,26,8,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\android\vending\expansion\zipfile\APKExpansionSupport.java,com.android.vending.expansion.zipfile.APKExpansionSupport,"getAPKExpansionZipFile/3[com.android.vending.expansion.zipfile.Context,int,int]",false,77,3,4,2,2,1,2,4,1,1,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,16,9,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android\src\main\java\com\brentvatne\react\ReactVideoView.java,com.brentvatne.react.ReactVideoView$TimedMetaDataAvailableListener,"onTimedMetaDataAvailable/2[com.brentvatne.react.MediaPlayer,com.brentvatne.react.TimedMetaData]",false,686,6,1,0,1,2,12,17,0,4,2,12,0,0,0,0,1,0,3,1,4,1,1,0,0,0,22,1,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainActivity.java,com.videocaching.MainActivity,getMainComponentName/0,false,12,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,true
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,VideoEventEmitter/1[com.brentvatne.exoplayer.ReactContext],true,25,2,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,fullscreenWillDismiss/0,false,225,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,"error/2[java.lang.String,java.lang.Exception]",false,233,2,3,2,1,1,5,8,0,2,2,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,"load/8[double,double,int,int,com.brentvatne.exoplayer.WritableArray,com.brentvatne.exoplayer.WritableArray,com.brentvatne.exoplayer.WritableArray,java.lang.String]",false,143,3,2,1,1,2,8,27,0,2,8,8,1,1,0,0,0,0,2,2,2,2,1,0,0,0,15,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,fullscreenDidPresent/0,false,221,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,setViewId/1[int],false,134,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\react-native-videoreact-native-video\android-exoplayer\src\main\java\com\brentvatne\exoplayer\VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,timedMetadata/1[com.brentvatne.exoplayer.Metadata],false,248,8,2,1,1,5,8,29,0,11,1,8,1,1,1,0,0,0,5,1,12,0,3,0,0,0,21,0,0,false
