file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,class,9,13,4,9,62,1,0,40,55,0.82330835,0.0,0.0,19,8,1,10,0,8,9,0,0,0,14,0,0,0,0,14,0,0,14,185,2,0,24,0,2,60,16,53,25,34,3,0,0,0,122,16,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\main\java\io\aeron\logbuffer\TermAppender.java,io.aeron.logbuffer.TermAppender,class,10,16,6,10,41,1,0,22,0,0.44444445,0.0,0.0,12,2,9,3,0,0,9,0,0,0,3,1,1,2,0,0,3,0,38,297,10,6,7,0,8,2,28,142,62,112,4,0,0,0,195,17,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-cluster\src\main\java\io\aeron\cluster\service\BoundedLogAdapter.java,io.aeron.cluster.service.BoundedLogAdapter,class,19,21,2,19,27,1,0,45,10,0.8290599,0.0,0.0,9,0,2,1,0,6,8,0,0,0,13,0,0,13,0,0,11,0,1,111,6,0,7,0,3,3,3,23,10,20,5,0,0,0,89,16,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\test\java\io\aeron\ClientConductorTest.java,io.aeron.ClientConductorTest$PrintError,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-cluster\src\main\java\io\aeron\cluster\ConsensusModuleSnapshotTaker.java,io.aeron.cluster.ConsensusModuleSnapshotTaker,class,16,17,1,16,17,2,0,35,21,0.8571428,0.0,0.0,7,0,2,0,0,5,7,0,0,0,5,1,0,5,0,0,5,0,1,77,1,5,0,0,0,0,5,15,4,15,2,0,0,0,66,0,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-test-support\src\main\java\io\aeron\test\cluster\TestCluster.java,io.aeron.test.cluster.TestCluster$ServiceContext,innerclass,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,3,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,7,9,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\test\java\io\aeron\CommonContextTest.java,io.aeron.CommonContextTest,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\CongestionControlSupplier.java,io.aeron.driver.CongestionControlSupplier,interface,5,10,5,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\main\java\io\aeron\security\NullCredentialsSupplier.java,io.aeron.security.NullCredentialsSupplier,class,2,5,3,2,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-archive\src\test\java\io\aeron\archive\checksum\Crc32Test.java,io.aeron.archive.checksum.Crc32Test,class,3,3,0,3,2,1,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,1,5,9,2,9,1,0,0,1,24,0,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-system-tests\src\test\java\io\aeron\AsyncResourceTest.java,io.aeron.AsyncResourceTest,class,14,14,0,14,5,1,0,20,0,0.11111111,0.0,0.0,3,0,0,0,0,3,3,0,0,0,3,2,0,2,0,1,3,0,8,57,0,2,2,3,2,3,6,23,1,23,2,0,0,0,56,0,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\main\java\io\aeron\ControlledFragmentAssembler.java,io.aeron.ControlledFragmentAssembler,class,7,17,10,7,20,1,0,13,0,0.5833334,0.0,0.0,9,0,8,1,0,0,8,0,0,0,4,0,0,4,0,0,4,0,0,70,5,0,7,0,3,0,3,14,0,11,6,0,0,0,149,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-cluster\src\main\java\io\aeron\cluster\service\ServiceSnapshotTaker.java,io.aeron.cluster.service.ServiceSnapshotTaker,class,8,9,1,8,4,2,0,18,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,21,0,1,0,0,0,0,2,5,1,5,2,0,0,0,26,16,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\main\java\io\aeron\command\DestinationMessageFlyweight.java,io.aeron.command.DestinationMessageFlyweight,class,4,9,5,4,11,2,0,6,12,0.6944444,0.0,0.0,9,1,9,0,0,0,9,0,0,0,4,3,0,4,0,0,3,0,0,41,7,0,0,0,1,4,0,4,14,4,1,0,0,0,90,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\test\java\io\aeron\logbuffer\TermScannerTest.java,io.aeron.logbuffer.TermScannerTest,class,6,6,0,6,11,1,0,15,0,0.3409091,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,3,0,4,0,0,4,0,51,138,0,0,0,0,2,0,33,51,33,48,0,0,0,0,83,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\RetransmitSender.java,io.aeron.driver.RetransmitSender,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-archive\src\main\java\io\aeron\archive\DeleteSegmentsSession.java,io.aeron.archive.DeleteSegmentsSession,class,5,6,1,5,14,1,0,7,0,0.52380955,0.0,0.0,6,0,5,0,0,1,6,0,0,0,7,0,0,7,0,0,7,0,0,54,3,1,2,0,0,3,2,14,3,13,3,0,0,0,36,0,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\main\java\io\aeron\command\SubscriptionMessageFlyweight.java,io.aeron.command.SubscriptionMessageFlyweight,class,4,9,5,4,13,2,0,7,29,0.76363635,0.0,0.0,11,1,11,0,0,0,11,0,0,0,5,4,0,5,0,0,4,0,0,49,9,0,0,0,1,4,0,5,17,5,1,0,0,0,89,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-cluster\src\test\java\io\aeron\cluster\NameResolutionClusterNodeTest.java,io.aeron.cluster.NameResolutionClusterNodeTest,class,25,26,1,25,7,1,0,52,4,0.64000005,0.0,0.0,5,0,0,2,0,3,3,0,0,0,5,1,0,5,0,0,2,0,5,45,2,0,2,0,0,6,4,8,2,8,1,1,0,0,66,0,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\main\java\io\aeron\command\ControlProtocolEvents.java,io.aeron.command.ControlProtocolEvents,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,24,0,0,26,0,0,0,0,0,0,24,24,0,24,0,0,0,0,97,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-cluster\src\main\java\io\aeron\cluster\ClusterControlAdapter.java,io.aeron.cluster.ClusterControlAdapter,class,10,11,1,10,9,1,0,28,0,0.625,0.0,0.0,4,0,1,1,0,2,3,0,0,0,6,0,0,6,0,0,6,0,2,64,1,2,3,0,0,5,1,28,3,28,2,0,1,0,48,16,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\DefaultNameResolver.java,io.aeron.driver.DefaultNameResolver,class,2,9,7,2,3,1,0,4,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,15,1,0,0,1,0,0,0,3,0,2,1,0,0,0,47,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\DriverNameResolver.java,io.aeron.driver.DriverNameResolver$Neighbor,innerclass,0,0,0,0,3,1,0,0,3,0.6666667,0.0,0.0,3,2,0,0,0,3,3,0,0,0,2,0,0,0,0,2,1,0,0,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15,8,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-test-support\src\main\java\io\aeron\test\DataCollector.java,io.aeron.test.DataCollector,class,3,21,18,3,53,1,0,62,109,0.8272727,0.0,0.0,22,1,13,9,0,0,13,0,0,0,5,3,0,3,0,2,5,0,29,201,20,10,4,2,0,9,3,33,6,33,5,1,0,5,170,17,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-client\src\test\java\io\aeron\SubscriptionTest.java,io.aeron.SubscriptionTest,class,18,19,1,18,13,1,0,35,0,0.7838828,0.0,0.0,13,0,6,1,0,6,12,0,0,0,21,8,0,21,0,0,20,0,9,125,4,0,0,0,0,11,29,35,6,37,1,0,0,4,117,1,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-cluster\src\main\java\io\aeron\cluster\ServiceAck.java,io.aeron.cluster.ServiceAck,class,2,4,2,2,14,1,0,2,6,0.5416667,0.0,0.0,8,3,1,0,0,7,8,0,0,0,3,0,0,3,0,0,3,0,0,49,7,3,3,0,0,7,1,7,4,6,2,0,0,0,38,16,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-samples\src\main\java\io\aeron\samples\EmbeddedIpcThroughput.java,io.aeron.samples.EmbeddedIpcThroughput$Publisher,innerclass,4,4,0,4,6,1,0,8,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,1,32,0,3,0,0,0,1,5,11,1,11,4,0,0,0,37,24,0
D:\trabCKMetrics\repos\real-logicaeron\aeron-agent\src\main\java\io\aeron\agent\ChannelEndpointInterceptor.java,io.aeron.agent.ChannelEndpointInterceptor$UdpChannelTransport$ReceiveHook,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,8,0
