file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,getEos/1[io.aeron.ChannelUri],false,292,1,2,1,1,2,2,6,0,1,1,2,0,0,0,1,0,0,1,0,2,0,1,0,0,0,18,2,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"PublicationParams/2[io.aeron.driver.MediaDriver.Context,boolean]",true,127,1,7,1,6,3,6,6,0,0,2,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,2,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"getSpiesSimulateConnection/2[io.aeron.ChannelUri,io.aeron.driver.MediaDriver.Context]",false,307,2,3,1,2,2,3,4,0,1,2,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,25,2,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,getTermBufferLength/1[io.aeron.ChannelUri],false,146,3,4,1,3,2,4,9,0,2,1,4,1,1,0,1,0,0,0,0,3,0,1,0,0,0,22,2,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,PublicationParams/0,true,45,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"validateSpiesSimulateConnection/2[io.aeron.driver.PublicationParams,boolean]",false,227,1,1,1,0,2,0,5,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,14,8,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"validateTermLength/2[io.aeron.driver.PublicationParams,int]",false,182,1,1,1,0,3,0,5,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,26,8,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"confirmMatch/4[io.aeron.ChannelUri,io.aeron.driver.PublicationParams,io.aeron.driver.buffer.RawLog,int]",false,204,4,6,2,4,7,4,12,0,1,4,4,0,0,0,3,0,0,6,0,1,3,1,0,0,0,38,8,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"validateMtuLength/2[io.aeron.driver.PublicationParams,int]",false,191,1,1,1,0,3,0,5,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,27,8,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"validateEntityTag/2[long,io.aeron.driver.DriverConductor]",false,313,1,3,1,2,4,2,8,0,0,2,2,0,0,0,3,0,0,2,0,0,2,1,0,0,0,24,10,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,validateMtuForMaxMessage/1[io.aeron.driver.PublicationParams],false,170,2,3,2,1,2,1,7,0,2,1,1,0,0,0,0,0,0,3,0,2,1,1,0,0,0,19,8,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"getSessionId/2[io.aeron.ChannelUri,io.aeron.driver.DriverConductor]",false,262,3,8,1,7,4,8,19,0,2,2,8,0,0,0,2,0,0,2,0,8,1,3,0,0,0,39,2,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"getEntityTag/2[io.aeron.ChannelUri,io.aeron.driver.DriverConductor]",false,135,3,3,1,2,2,3,8,0,2,2,3,1,1,0,1,0,0,0,0,3,0,1,0,0,0,13,2,0,false
D:\trabCKMetrics\repos\real-logicaeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"validateMtuForSndbuf/3[io.aeron.driver.PublicationParams,int,io.aeron.driver.MediaDriver.Context]",false,237,2,2,1,1,5,1,8,0,0,3,1,0,0,0,2,0,0,5,2,0,2,1,0,0,0,26,8,0,false
