file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring\src\test\java\io\github\resilience4j\circuitbreaker\configure\CircuitBreakerRecoveryTest.java,io.github.resilience4j.circuitbreaker.configure.CircuitBreakerRecoveryTest,class,8,8,0,8,9,1,0,18,0,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,30,0,0,0,0,0,10,1,0,0,1,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-all\src\main\java\io\github\resilience4j\decorators\Decorators.java,io.github.resilience4j.decorators.Decorators$DecorateSupplier,innerclass,13,13,0,13,16,1,0,16,0,0.13333334,0.0,0.0,15,0,13,2,0,0,13,0,0,0,1,0,0,1,0,0,0,0,11,66,16,0,0,1,0,0,1,10,0,2,2,0,0,1,36,0,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring\src\main\java\io\github\resilience4j\ratelimiter\configure\RateLimiterAspect.java,io.github.resilience4j.ratelimiter.configure.RateLimiterAspect,class,20,27,7,20,19,1,0,35,26,0.79365075,0.0,0.0,9,0,4,5,0,0,4,0,0,0,7,2,0,7,0,0,7,0,2,80,12,1,3,1,1,7,0,16,1,15,3,0,0,2,131,1,2
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring\src\main\java\io\github\resilience4j\spelresolver\configure\SpelResolverConfiguration.java,io.github.resilience4j.spelresolver.configure.SpelResolverConfiguration,class,8,16,8,8,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-prometheus\src\main\java\io\github\resilience4j\prometheus\CallCollectors.java,io.github.resilience4j.prometheus.CallCollectors,class,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,16,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-framework-common\src\main\java\io\github\resilience4j\common\timelimiter\configuration\TimeLimiterConfigurationProperties.java,io.github.resilience4j.common.timelimiter.configuration.TimeLimiterConfigurationProperties,class,11,22,11,11,13,2,2,20,17,0.71428573,0.0,0.0,7,1,5,2,0,0,5,0,0,0,2,0,0,2,0,0,2,0,8,89,10,0,5,0,0,0,0,4,0,5,2,0,1,1,34,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-cache\src\main\java\io\github\resilience4j\cache\event\CacheEvent.java,io.github.resilience4j.cache.event.CacheEvent$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring-boot2\src\test\java\io\github\resilience4j\service\test\DummyServiceImpl.java,io.github.resilience4j.service.test.DummyServiceImpl,class,6,6,0,6,5,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19,3,0,0,0,0,4,1,1,0,1,1,0,0,2,24,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-ratelimiter\src\main\java\io\github\resilience4j\ratelimiter\internal\AtomicRateLimiter.java,io.github.resilience4j.ratelimiter.internal.AtomicRateLimiter$State,innerclass,1,1,0,1,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,37,10,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-core\src\test\java\io\github\resilience4j\core\ClassUtilsTest.java,io.github.resilience4j.core.ClassUtilsTest$NoDefaultConstructorPredicate,innerclass,0,0,0,0,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,10,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-reactor\src\test\java\io\github\resilience4j\reactor\ratelimiter\operator\ResponseWithPotentialOverload.java,io.github.resilience4j.reactor.ratelimiter.operator.ResponseWithPotentialOverload$SpecificResponseWithPotentialOverload,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-core\src\main\java\io\github\resilience4j\core\ContextAwareScheduledThreadPoolExecutor.java,io.github.resilience4j.core.ContextAwareScheduledThreadPoolExecutor$Builder,innerclass,3,3,0,3,5,1,0,3,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,18,3,0,1,0,0,1,1,3,0,2,1,0,0,0,24,9,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-core\src\main\java\io\github\resilience4j\core\registry\EntryReplacedEvent.java,io.github.resilience4j.core.registry.EntryReplacedEvent,class,3,37,34,3,4,2,0,0,2,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring\src\test\java\io\github\resilience4j\DummySpelBean.java,io.github.resilience4j.DummySpelBean,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring\src\test\java\io\github\resilience4j\ratelimiter\configure\RxJava2RateLimiterAspectExtTest.java,io.github.resilience4j.ratelimiter.configure.RxJava2RateLimiterAspectExtTest,class,10,10,0,10,2,1,0,11,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,21,0,0,0,0,0,10,0,1,0,3,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-circuitbreaker\src\main\java\io\github\resilience4j\circuitbreaker\internal\CircuitBreakerMetrics.java,io.github.resilience4j.circuitbreaker.internal.CircuitBreakerMetrics,class,9,19,10,9,35,1,0,25,107,0.8181818,0.0,0.0,22,5,11,5,0,6,17,0,0,0,6,0,0,6,0,0,5,0,2,131,25,0,5,0,0,0,8,16,0,12,1,0,1,0,105,0,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-bulkhead\src\main\java\io\github\resilience4j\bulkhead\ThreadPoolBulkhead.java,io.github.resilience4j.bulkhead.ThreadPoolBulkhead,interface,9,47,38,9,20,1,0,7,190,0.0,0.0,0.0,20,7,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,6,63,13,0,0,0,0,0,0,0,0,0,0,0,2,3,94,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-rxjava2\src\test\java\io\github\resilience4j\timelimiter\transformer\TimeLimiterTransformerPublisherTest.java,io.github.resilience4j.timelimiter.transformer.TimeLimiterTransformerPublisherTest,class,10,11,1,10,7,1,0,30,0,0.47619048,0.0,0.0,7,0,6,1,0,0,6,0,0,0,3,0,1,2,0,0,3,0,10,53,1,0,0,0,0,0,17,12,0,12,0,0,0,0,33,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-framework-common\src\main\java\io\github\resilience4j\common\circuitbreaker\monitoring\endpoint\CircuitBreakerEventDTO.java,io.github.resilience4j.common.circuitbreaker.monitoring.endpoint.CircuitBreakerEventDTO,class,3,11,8,3,14,1,0,0,55,0.7857142,0.0,0.0,14,0,12,0,0,2,14,0,0,0,6,0,0,6,0,0,0,0,0,54,6,0,0,0,0,0,0,12,0,6,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-spring-boot2\src\test\java\io\github\resilience4j\service\test\bulkhead\BulkheadDummyService.java,io.github.resilience4j.service.test.bulkhead.BulkheadDummyService,interface,0,2,2,0,3,1,0,0,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,3,0,3,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\resilience4jresilience4j\resilience4j-framework-common\src\test\java\io\github\resilience4j\common\ratelimiter\configuration\RateLimiterConfigurationPropertiesTest.java,io.github.resilience4j.common.ratelimiter.configuration.RateLimiterConfigurationPropertiesTest,class,9,10,1,9,7,1,0,37,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,115,1,0,0,0,0,28,30,24,0,24,0,0,0,1,59,1,0
