file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\robolectricrobolectric\utils\src\main\java\org\robolectric\util\SoftThreadLocal.java,org.robolectric.util.SoftThreadLocal,class,2,5,3,2,4,1,0,4,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,1,0,1,1,0,0,1,0,0,1,0,0,20,1,0,1,0,0,0,0,3,0,2,1,1,0,0,14,1025,0
D:\trabCKMetrics\repos\robolectricrobolectric\robolectric\src\test\java\org\robolectric\shadows\ShadowSensorTest.java,org.robolectric.shadows.ShadowSensorTest,class,7,7,0,7,3,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,3,3,0,3,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\shadows\framework\src\main\java\org\robolectric\shadows\ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,class,44,47,3,44,209,3,0,117,2240,0.975,0.0,0.0,68,18,12,5,47,4,63,0,27,1,10,8,0,9,1,0,7,0,45,821,90,9,81,1,7,34,85,258,14,200,4,0,0,1,268,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\shadowapi\src\main\java\org\robolectric\internal\IShadow.java,org.robolectric.internal.IShadow,interface,3,5,2,3,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\robolectric\src\test\java\org\robolectric\IncludedDependenciesTest.java,org.robolectric.IncludedDependenciesTest,class,5,5,0,5,2,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,3,1,0,1,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\robolectric\src\test\java\org\robolectric\shadows\ShadowTrafficStatsTest.java,org.robolectric.shadows.ShadowTrafficStatsTest,class,4,4,0,4,11,1,0,33,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,66,0,0,0,0,0,0,18,2,0,2,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\robolectric\src\test\java\org\robolectric\InvokeDynamicTest.java,org.robolectric.InvokeDynamicTest$DoNothing,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
D:\trabCKMetrics\repos\robolectricrobolectric\robolectric\src\test\java\org\robolectric\fakes\ConfigTestReceiver.java,org.robolectric.fakes.ConfigTestReceiver,class,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\shadows\framework\src\main\java\org\robolectric\shadows\ShadowPausedSystemClock.java,org.robolectric.shadows.ShadowPausedSystemClock,class,9,13,4,9,16,2,0,8,36,0.7708334,0.0,0.0,12,12,1,0,9,2,12,0,0,0,4,4,0,4,0,0,2,0,6,61,9,1,1,0,0,1,3,7,2,4,2,0,1,0,91,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\robolectric\src\test\java\org\robolectric\shadows\ShadowCornerPathEffectTest.java,org.robolectric.shadows.ShadowCornerPathEffectTest,class,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,1,0,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\robolectricrobolectric\sandbox\src\test\java\org\robolectric\ShadowingTest.java,org.robolectric.ShadowingTest$AccountManager,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
