file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,class,200,201,1,200,8,2,0,191,15,1.0,0.0,0.0,6,1,4,2,0,0,4,0,0,0,1,1,0,1,0,0,1,0,28,290,1,2,0,0,1,61,32,142,0,142,1,3,0,0,307,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,class,4,6,2,4,3,1,0,3,0,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,12,3,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\redis-dispatch\src\test\java\org\whispersystems\dispatch\redis\PubSubConnectionTest.java,org.whispersystems.dispatch.redis.PubSubConnectionTest$MockInputStream,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\workers\DeleteUserCommand.java,org.whispersystems.textsecuregcm.workers.DeleteUserCommand,class,57,59,2,57,6,2,0,68,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,9,85,0,1,0,1,1,20,10,53,1,53,3,1,0,0,106,1,3
D:\trabCKMetrics\repos\signalappSignal-Server\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,class,6,10,4,6,3,1,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,14,3,0,0,0,0,0,14,3,6,3,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\auth\DisabledPermittedAccountAuthenticator.java,org.whispersystems.textsecuregcm.auth.DisabledPermittedAccountAuthenticator,class,6,8,2,6,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\configuration\dynamic\DynamicRateLimitsConfiguration.java,org.whispersystems.textsecuregcm.configuration.dynamic.DynamicRateLimitsConfiguration,class,3,9,6,3,10,1,0,1,45,0.9,0.0,0.0,10,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,1,42,10,0,0,0,6,0,31,10,13,10,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\configuration\DirectoryServerConfiguration.java,org.whispersystems.textsecuregcm.configuration.DirectoryServerConfiguration,class,2,5,3,2,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,4,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\test\java\org\whispersystems\textsecuregcm\tests\util\SynchronousExecutorService.java,org.whispersystems.textsecuregcm.tests.util.SynchronousExecutorService,class,3,6,3,3,16,1,0,8,66,0.6923077,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,1,68,11,1,0,2,0,0,0,9,0,6,2,0,0,0,38,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\test\java\org\whispersystems\textsecuregcm\storage\VerificationCodeStoreTest.java,org.whispersystems.textsecuregcm.storage.VerificationCodeStoreTest,class,8,9,1,8,9,1,0,24,0,0.5625,0.0,0.0,4,1,0,1,0,3,3,0,0,0,4,3,0,3,0,1,3,0,8,42,3,0,5,0,0,11,3,8,0,8,1,0,0,0,48,0,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\gcp\CanonicalRequestSigner.java,org.whispersystems.textsecuregcm.gcp.CanonicalRequestSigner,class,4,6,2,4,11,1,0,29,9,0.6666666,0.0,0.0,6,2,2,4,0,0,2,0,0,0,2,1,0,2,0,0,2,0,8,64,4,0,0,4,0,7,1,11,0,11,2,0,0,0,61,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\mappers\DeviceLimitExceededExceptionMapper.java,org.whispersystems.textsecuregcm.mappers.DeviceLimitExceededExceptionMapper,class,5,8,3,5,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\push\ClientPresenceManager.java,org.whispersystems.textsecuregcm.push.ClientPresenceManager,class,15,24,9,15,32,2,0,71,47,0.8365652,0.0,0.0,19,4,8,6,0,5,13,0,0,0,19,3,0,18,0,1,18,0,19,178,9,4,6,6,1,23,3,35,4,53,4,0,0,21,153,1,3
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\configuration\MessageDynamoDbConfiguration.java,org.whispersystems.textsecuregcm.configuration.MessageDynamoDbConfiguration,class,2,5,3,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\signalappSignal-Server\redis-dispatch\src\test\java\org\whispersystems\dispatch\redis\PubSubConnectionTest.java,org.whispersystems.dispatch.redis.PubSubConnectionTest$TrickleInputStream,innerclass,2,2,0,2,3,1,0,0,0,0.16666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,14,2,0,0,0,0,0,2,3,0,2,0,0,0,0,8,10,0
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\controllers\DeviceController.java,org.whispersystems.textsecuregcm.controllers.DeviceController,class,36,40,4,36,31,1,2,67,20,0.68253976,0.0,0.0,9,0,7,1,1,0,8,0,0,0,7,1,0,7,0,0,7,0,4,136,5,1,5,1,2,10,6,33,1,27,4,0,0,3,88,1,0
