file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,"run/2[org.whispersystems.textsecuregcm.WhisperServerConfiguration,org.whispersystems.textsecuregcm.Environment]",false,253,180,240,1,239,3,185,229,0,140,2,185,2,1,2,0,0,1,44,32,140,0,1,1,0,0,286,1,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,registerCorsFilter/1[org.whispersystems.textsecuregcm.Environment],false,682,4,1,1,0,1,5,9,0,1,1,5,0,0,0,0,0,0,12,0,1,0,0,0,0,0,8,2,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,main/1[java.lang.String[]],false,692,1,2,0,2,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,getName/0,false,247,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,"registerExceptionMappers/3[org.whispersystems.textsecuregcm.Environment,org.whispersystems.websocket.setup.WebSocketEnvironment<org.whispersystems.textsecuregcm.auth.AuthenticatedAccount>,org.whispersystems.websocket.setup.WebSocketEnvironment<org.whispersystems.textsecuregcm.auth.AuthenticatedAccount>]",false,656,10,9,1,8,1,3,23,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,initialize/1[org.whispersystems.textsecuregcm.Bootstrap<org.whispersystems.textsecuregcm.WhisperServerConfiguration>],false,222,9,7,0,7,1,2,20,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,21,1,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,asJson/1[java.lang.Object],false,19,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,"fromJson/2[java.lang.String,java.lang.Class<T>]",false,23,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,jsonFixture/1[java.lang.String],false,27,2,5,4,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\signalappSignal-Server\redis-dispatch\src\test\java\org\whispersystems\dispatch\redis\PubSubConnectionTest.java,org.whispersystems.dispatch.redis.PubSubConnectionTest$MockInputStream,"read/3[byte[],int,int]",false,195,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
