file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClient.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClient,class,9,10,1,9,10,1,0,11,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,1,2,0,0,3,0,1,38,5,2,1,0,1,1,0,8,0,8,2,0,0,0,44,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClientConfiguration.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClientConfiguration$EurekaClientConfigurationRefresher,innerclass,7,7,0,7,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,2,1,0,0,0,22,12,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerAutoConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerAutoConfiguration,class,48,50,2,48,18,3,0,24,50,0.8131868,0.0,0.0,13,2,11,2,0,0,12,0,0,0,7,2,1,6,0,0,2,0,2,127,13,2,2,0,0,10,1,12,3,17,2,0,3,0,134,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerMarkerConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerMarkerConfiguration$Marker,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientAutoConfiguration.java,org.springframework.cloud.netflix.eureka.EurekaClientAutoConfiguration$RefreshableEurekaClientConfiguration,innerclass,24,24,0,24,4,1,0,8,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,23,3,0,0,0,0,2,0,4,0,5,1,0,0,0,36,12,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\config\EurekaClientConfigServerAutoConfiguration.java,org.springframework.cloud.netflix.eureka.config.EurekaClientConfigServerAutoConfiguration,class,9,10,1,9,5,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,13,1,0,2,0,0,2,0,1,0,3,1,0,0,0,28,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\metadata\DefaultManagementMetadataProvider.java,org.springframework.cloud.netflix.eureka.metadata.DefaultManagementMetadataProvider,class,5,8,3,5,26,1,0,22,34,0.8333334,0.0,0.0,9,0,2,6,1,0,3,0,0,0,2,2,0,2,0,0,2,0,1,78,14,0,9,1,0,10,1,18,5,14,2,0,0,0,65,1,2
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\ConditionalOnRefreshScopeTests.java,org.springframework.cloud.netflix.eureka.ConditionalOnRefreshScopeTests,class,5,5,0,5,3,1,0,10,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,13,0,0,0,4,1,0,1,4,21,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\InstanceRegistry.java,org.springframework.cloud.netflix.eureka.server.InstanceRegistry,class,16,19,3,16,21,2,0,23,62,0.7948718,0.0,0.0,13,0,7,5,1,0,8,0,0,0,3,1,0,3,0,0,1,0,0,73,4,2,2,0,0,10,2,9,3,6,4,0,0,0,106,1,1
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client-tls-tests\src\test\java\org\springframework\cloud\netflix\eureka\RestTemplateEurekaClientTest.java,org.springframework.cloud.netflix.eureka.RestTemplateEurekaClientTest,class,10,12,2,10,3,2,0,11,0,0.33333334,0.0,0.0,3,2,2,0,0,1,3,0,0,0,3,3,0,3,0,0,1,0,5,26,1,0,0,0,0,1,0,3,0,3,0,0,2,1,30,1,1
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\config\EurekaConfigServerBootstrapperTests.java,org.springframework.cloud.netflix.eureka.config.EurekaConfigServerBootstrapperTests,class,4,4,0,4,2,1,0,11,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,2,0,6,1,0,1,4,27,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerInitializerConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerInitializerConfiguration,class,14,17,3,14,10,1,0,9,26,0.80952376,0.0,0.0,9,0,7,2,0,0,7,0,0,0,7,1,0,7,0,0,1,0,0,49,5,0,0,1,0,2,2,5,0,7,2,0,0,1,45,1,2
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\test\java\org\springframework\cloud\netflix\eureka\server\RefreshablePeerEurekaNodesWithCustomFiltersTests.java,org.springframework.cloud.netflix.eureka.server.RefreshablePeerEurekaNodesWithCustomFiltersTests$Application$CustomClientFilter,innerclass,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\CloudJacksonJson.java,org.springframework.cloud.netflix.eureka.server.CloudJacksonJson$CloudInstanceInfoDeserializer,innerclass,6,6,0,6,2,2,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,21,8,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\http\WebClientDiscoveryClientOptionalArgs.java,org.springframework.cloud.netflix.eureka.http.WebClientDiscoveryClientOptionalArgs,class,3,4,1,3,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\serviceregistry\EurekaRegistration.java,org.springframework.cloud.netflix.eureka.serviceregistry.EurekaRegistration,class,12,21,9,12,23,1,0,18,5,0.80701756,0.0,0.0,19,1,17,1,1,0,18,0,0,0,6,1,0,6,0,0,5,0,0,125,17,0,1,1,1,2,0,7,0,6,2,0,1,0,56,1,1
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\config\EurekaHttpClientsOptionalArgsConfigurationTest.java,org.springframework.cloud.netflix.eureka.config.EurekaHttpClientsOptionalArgsConfigurationTest,class,9,9,0,9,3,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,3,1,0,0,3,28,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\EurekaClientConfigBeanTests.java,org.springframework.cloud.netflix.eureka.EurekaClientConfigBeanTests,class,9,10,1,9,10,1,0,19,0,0.11111111,0.0,0.0,9,0,0,2,0,7,7,0,0,0,1,0,0,1,0,0,0,0,1,56,2,0,1,0,0,19,0,2,0,2,1,0,1,0,40,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\config\EurekaConfigServerBootstrapConfiguration.java,org.springframework.cloud.netflix.eureka.config.EurekaConfigServerBootstrapConfiguration$EurekaConfigServerBootstrapCondition,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\EurekaClientAutoConfigurationTests.java,org.springframework.cloud.netflix.eureka.EurekaClientAutoConfigurationTests$TestEurekaClientConfiguration$Anonymous1,anonymous,1,1,0,1,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,1,0,1,1,0,0,0,6,-1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\http\WebClientTransportClientFactoriesTest.java,org.springframework.cloud.netflix.eureka.http.WebClientTransportClientFactoriesTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\test\java\org\springframework\cloud\netflix\eureka\server\EurekaControllerReplicasTests.java,org.springframework.cloud.netflix.eureka.server.EurekaControllerReplicasTests,class,8,8,0,8,5,1,0,12,0,0.6769231,0.0,0.0,5,0,0,0,0,5,5,0,0,0,13,0,0,2,0,11,0,0,2,54,0,0,0,0,0,34,0,26,4,25,0,0,0,0,38,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\MutableDiscoveryClientOptionalArgs.java,org.springframework.cloud.netflix.eureka.MutableDiscoveryClientOptionalArgs,class,2,3,1,2,2,2,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,1,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBeanTests.java,org.springframework.cloud.netflix.eureka.EurekaInstanceConfigBeanTests,class,11,12,1,11,28,1,0,31,0,0.6376812,0.0,0.0,23,0,0,2,0,21,21,0,0,0,3,0,0,3,0,0,0,0,0,157,1,0,5,1,0,54,1,7,1,7,1,0,1,1,68,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\http\WebClientTransportClientFactories.java,org.springframework.cloud.netflix.eureka.http.WebClientTransportClientFactories,class,7,8,1,7,4,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\config\EurekaConfigServerBootstrapConfigurationWebClientTests.java,org.springframework.cloud.netflix.eureka.config.EurekaConfigServerBootstrapConfigurationWebClientTests,class,7,7,0,7,2,1,0,7,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,0,0,0,2,1,0,0,2,22,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\metadata\DefaultManagementMetadataProviderTest.java,org.springframework.cloud.netflix.eureka.metadata.DefaultManagementMetadataProviderTest,class,6,6,0,6,12,1,0,18,0,0.041666668,0.0,0.0,12,0,0,0,0,12,12,0,0,0,2,1,0,2,0,0,2,0,0,126,0,0,0,0,0,38,26,57,0,57,0,0,0,0,45,0,0
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientAutoConfiguration.java,org.springframework.cloud.netflix.eureka.EurekaClientAutoConfiguration$EurekaHealthIndicatorConfiguration,innerclass,10,10,0,10,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,12,0
