file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClient.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClient,getServices/0,false,71,2,0,0,0,4,8,15,2,3,0,8,0,0,1,1,0,0,0,0,3,0,2,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClient.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClient,getInstances/1[java.lang.String],false,61,3,1,0,1,2,2,8,1,2,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClient.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClient,description/0,false,56,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClient.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClient,"EurekaDiscoveryClient/2[org.springframework.cloud.netflix.eureka.EurekaClient,org.springframework.cloud.netflix.eureka.EurekaClientConfig]",true,50,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClient.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClient,getOrder/0,false,89,2,0,0,0,2,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaDiscoveryClientConfiguration.java,org.springframework.cloud.netflix.eureka.EurekaDiscoveryClientConfiguration$EurekaClientConfigurationRefresher,onApplicationEvent/1[org.springframework.cloud.netflix.eureka.RefreshScopeRefreshedEvent],false,86,2,2,0,2,3,3,9,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerAutoConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerAutoConfiguration,eurekaController/0,false,116,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerAutoConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerAutoConfiguration,jerseyFilterRegistration/1[javax.ws.rs.core.Application],false,183,3,0,0,0,1,4,7,1,1,1,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,19,1,0,true
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerAutoConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerAutoConfiguration,"jerseyApplication/2[org.springframework.cloud.netflix.eureka.server.Environment,org.springframework.cloud.netflix.eureka.server.ResourceLoader]",false,200,9,0,0,0,3,8,18,1,6,2,8,0,0,2,0,0,0,1,0,6,1,2,0,0,0,65,1,0,true
D:\trabCKMetrics\repos\spring-cloudspring-cloud-netflix\spring-cloud-netflix-eureka-server\src\main\java\org\springframework\cloud\netflix\eureka\server\EurekaServerAutoConfiguration.java,org.springframework.cloud.netflix.eureka.server.EurekaServerAutoConfiguration,eurekaServerFeature/0,false,110,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
