file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\security\servlet\UserDetailsServiceAutoConfigurationTests.java,org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfigurationTests$TestSecurityConfiguration,innerclass,4,4,0,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\r2dbc\ConnectionFactoryBeanCreationFailureAnalyzer.java,org.springframework.boot.autoconfigure.r2dbc.ConnectionFactoryBeanCreationFailureAnalyzer,class,7,9,2,7,9,2,0,16,13,0.6666667,0.0,0.0,6,0,1,4,1,0,2,0,0,0,1,0,0,1,0,0,0,0,5,49,5,0,1,0,0,12,0,7,1,7,1,0,0,0,68,0,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\data\mongo\MongoRepositoriesAutoConfigurationTests.java,org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests$SortOfInvalidCustomConfiguration,innerclass,4,4,0,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,8,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\test\java\org\springframework\boot\actuate\autoconfigure\web\mappings\MappingsEndpointAutoConfigurationTests.java,org.springframework.boot.actuate.autoconfigure.web.mappings.MappingsEndpointAutoConfigurationTests,class,15,15,0,15,2,1,0,9,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1,1,0,0,2,1,0,0,2,25,0,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-test\src\test\java\org\springframework\boot\test\context\example\scan\Example.java,org.springframework.boot.test.context.example.scan.Example,class,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-tools\spring-boot-configuration-processor\src\test\java\org\springframework\boot\configurationsample\specific\EmptyDefaultValueProperties.java,org.springframework.boot.configurationsample.specific.EmptyDefaultValueProperties,class,3,4,1,3,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot\src\test\java\org\springframework\boot\context\properties\source\ConfigurationPropertySourcesPropertyResolverTests.java,org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertyResolverTests$CountingMockPropertySource,innerclass,2,2,0,2,5,2,0,7,4,0.5,0.0,0.0,4,0,2,1,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,1,0,1,0,1,2,0,3,0,0,0,1,16,8,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-tests\spring-boot-smoke-tests\spring-boot-smoke-test-amqp\src\main\java\smoketest\amqp\Sender.java,smoketest.amqp.Sender,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,1,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\jersey\JerseyAutoConfigurationCustomFilterPathTests.java,org.springframework.boot.autoconfigure.jersey.JerseyAutoConfigurationCustomFilterPathTests$Application,innerclass,8,8,0,8,3,2,0,2,3,0.6666667,0.0,0.0,3,1,1,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,12,1,0,0,0,0,4,0,0,1,1,0,0,0,0,8,9,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-test\src\main\java\org\springframework\boot\test\mock\mockito\SpyDefinition.java,org.springframework.boot.test.mock.mockito.SpyDefinition$SpringAopBypassingVerificationStartedListener,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-tests\spring-boot-smoke-tests\spring-boot-smoke-test-data-jdbc\src\test\java\smoketest\data\jdbc\CustomerRepositoryIntegrationTests.java,smoketest.data.jdbc.CustomerRepositoryIntegrationTests,class,5,5,0,5,3,1,0,5,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,2,0,0,1,0,0,0,0,18,0,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\cache\CacheManagerCustomizers.java,org.springframework.boot.autoconfigure.cache.CacheManagerCustomizers,class,6,18,12,6,3,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,10,1,0,1,0,1,1,0,1,0,2,0,0,0,1,33,1,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot\src\main\java\org\springframework\boot\availability\AvailabilityChangeEvent.java,org.springframework.boot.availability.AvailabilityChangeEvent,class,6,20,14,6,7,2,0,9,15,0.0,0.0,0.0,6,2,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,26,4,0,0,0,1,2,0,1,0,1,1,0,0,0,55,1,0
D:\trabCKMetrics\repos\spring-projectsspring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\web\servlet\error\BasicErrorControllerIntegrationTests.java,org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorControllerIntegrationTests$TestConfiguration$Errors$ExpectedException,innerclass,1,1,0,1,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,8,0
