file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\main\java\org\springframework\samples\petclinic\owner\Pet.java,org.springframework.samples.petclinic.owner.Pet,class,14,26,12,14,11,3,0,6,37,0.8,0.0,0.0,10,0,7,0,3,0,10,0,0,0,4,0,0,4,0,0,0,0,1,42,5,0,1,0,0,6,0,7,0,5,1,0,0,0,38,1,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\main\java\org\springframework\samples\petclinic\visit\Visit.java,org.springframework.samples.petclinic.visit.Visit,class,6,11,5,6,7,2,0,1,11,0.6666667,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,1,26,3,0,0,0,0,5,0,4,0,3,0,0,0,0,33,1,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\test\java\org\springframework\samples\petclinic\model\ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,class,6,7,1,6,2,1,0,14,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,4,1,5,0,5,0,0,0,0,41,0,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\main\java\org\springframework\samples\petclinic\system\CrashController.java,org.springframework.samples.petclinic.system.CrashController,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,27,0,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,class,14,14,0,14,3,1,0,23,1,0.5,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,0,0,0,26,0,0,0,0,0,10,4,4,0,6,0,0,0,0,32,0,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\main\java\org\springframework\samples\petclinic\vet\Specialty.java,org.springframework.samples.petclinic.vet.Specialty,class,3,5,2,3,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\main\java\org\springframework\samples\petclinic\owner\PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,class,6,8,2,6,5,1,0,3,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,18,2,1,0,0,0,1,1,2,1,2,2,0,0,0,56,1,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\main\java\org\springframework\samples\petclinic\vet\VetController.java,org.springframework.samples.petclinic.vet.VetController,class,5,6,1,5,3,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,17,2,0,0,0,0,4,0,3,0,3,0,0,0,0,19,0,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\test\java\org\springframework\samples\petclinic\system\CrashControllerTests.java,org.springframework.samples.petclinic.system.CrashControllerTests,class,6,6,0,6,1,1,0,10,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,19,0,0
D:\trabCKMetrics\repos\spring-projectsspring-petclinic\src\test\java\org\springframework\samples\petclinic\service\EntityUtils.java,org.springframework.samples.petclinic.service.EntityUtils,class,3,4,1,3,4,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,2,0,0,0,46,1025,0
