file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\spring-projectsspring-security\config\src\main\java\org\springframework\security\config\web\server\ServerHttpSecurity.java,org.springframework.security.config.web.server.ServerHttpSecurity$OAuth2ClientSpec,innerclass,17,17,0,17,24,1,0,15,65,0.8,0.0,0.0,14,0,6,7,1,0,7,0,0,0,5,0,0,5,0,0,0,0,0,97,17,0,10,0,0,0,0,18,0,15,1,0,0,0,73,17,0
D:\trabCKMetrics\repos\spring-projectsspring-security\saml2\saml2-service-provider\src\main\java\org\springframework\security\saml2\provider\service\servlet\filter\Saml2WebSsoAuthenticationRequestFilter.java,org.springframework.security.saml2.provider.service.servlet.filter.Saml2WebSsoAuthenticationRequestFilter,class,22,25,3,22,18,2,0,41,35,0.75,0.0,0.0,11,1,5,5,1,0,6,0,0,0,4,0,0,4,0,0,1,0,1,123,4,0,2,1,0,44,0,21,0,17,1,0,0,0,168,1,0
D:\trabCKMetrics\repos\spring-projectsspring-security\buildSrc\src\test\resources\samples\jacoco\java\src\test\java\sample\TheClassTest.java,sample.TheClassTest,class,2,2,0,2,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\spring-projectsspring-security\core\src\test\java\org\springframework\security\authentication\dao\DaoAuthenticationProviderTests.java,org.springframework.security.authentication.dao.DaoAuthenticationProviderTests$MockUserDetailsServiceReturnsNull,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0
D:\trabCKMetrics\repos\spring-projectsspring-security\oauth2\oauth2-core\src\main\java\org\springframework\security\oauth2\core\oidc\IdTokenClaimAccessor.java,org.springframework.security.oauth2.core.oidc.IdTokenClaimAccessor,interface,2,10,8,2,12,1,0,4,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0
D:\trabCKMetrics\repos\spring-projectsspring-security\oauth2\oauth2-resource-server\src\test\java\org\springframework\security\oauth2\server\resource\web\server\ServerBearerTokenAuthenticationConverterTests.java,org.springframework.security.oauth2.server.resource.web.server.ServerBearerTokenAuthenticationConverterTests,class,9,10,1,9,17,1,0,27,66,0.72549015,0.0,0.0,17,0,15,2,0,0,15,0,0,0,3,2,0,3,0,0,2,0,1,87,2,0,0,0,2,38,0,21,7,23,1,0,0,7,83,1,0
D:\trabCKMetrics\repos\spring-projectsspring-security\web\src\main\java\org\springframework\security\web\util\matcher\ELRequestMatcherContext.java,org.springframework.security.web.util.matcher.ELRequestMatcherContext,class,2,3,1,2,3,1,0,4,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,1,0,0,2,0,2,0,0,0,0,16,0,0
D:\trabCKMetrics\repos\spring-projectsspring-security\oauth2\oauth2-client\src\main\java\org\springframework\security\oauth2\client\authentication\OAuth2AuthorizationCodeAuthenticationProvider.java,org.springframework.security.oauth2.client.authentication.OAuth2AuthorizationCodeAuthenticationProvider,class,12,16,4,12,5,1,0,17,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,27,2,0,0,0,0,2,0,8,0,8,1,0,0,0,68,1,0
D:\trabCKMetrics\repos\spring-projectsspring-security\config\src\main\java\org\springframework\security\config\http\GrantedAuthorityDefaultsParserUtils.java,org.springframework.security.config.http.GrantedAuthorityDefaultsParserUtils,class,3,5,2,3,2,1,0,6,1,0.0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,1,0,3,0,3,0,0,1,0,21,16,0
D:\trabCKMetrics\repos\spring-projectsspring-security\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\endpoint\NimbusJwsEncoderTests.java,org.springframework.security.oauth2.client.endpoint.NimbusJwsEncoderTests$JwkListResultCaptor,innerclass,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,2,0,0,0,0,1,0,1,0,1,0,0,0,0,12,26,0
