file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,class,5,9,4,5,87,2,0,32,28,0.7604167,0.0,0.0,24,1,16,6,0,2,19,0,0,0,4,1,0,4,0,0,2,0,9,319,26,3,28,0,4,39,26,46,21,19,3,1,0,0,161,16,0
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,class,3,3,0,3,4,1,0,17,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,69,0,0,0,0,0,51,13,10,2,10,0,0,0,0,25,17,0
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi$Lookup,innerclass,5,5,0,5,7,2,0,3,0,0.625,0.0,0.0,4,0,3,0,0,1,4,0,0,0,4,0,0,0,0,4,3,0,0,22,2,0,3,0,0,2,0,3,0,4,1,0,0,0,36,24,0
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$BuiltInTypesJsonAdapter,innerclass,4,4,0,4,3,1,0,2,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,2,1,0,1,0,1,0,0,0,13,8,0
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,innerclass,7,7,0,7,3,2,0,2,0,0.5,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,1,1,1,0,0,2,0,0,31,1,0,0,0,0,0,0,2,0,2,0,1,1,0,26,25,0
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,class,12,82,70,12,38,2,0,31,54,0.8333333,0.0,0.0,12,2,8,1,0,3,12,0,0,0,5,1,0,4,0,1,5,0,12,256,15,5,16,1,0,16,8,27,7,23,3,2,3,0,123,17,0
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,class,6,7,1,6,2,1,0,8,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,6,0,4,1,4,0,0,3,0,14,17,0
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\MoshiTest.java,com.squareup.moshi.MoshiTest$LocalizedBooleanAdapter$Anonymous9,anonymous,4,4,0,4,4,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,1,0,1,0,0,0,0,0,3,0,0,0,12,-1,0
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\CustomAdapterWithDelegate.java,com.squareup.moshi.recipes.CustomAdapterWithDelegate,class,6,7,1,6,2,1,0,6,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,2,0,2,0,0,2,0,23,17,0
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$MissingJsonQualifierJsonAdapter,innerclass,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0
