file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,close/0,false,346,0,0,0,0,4,1,8,0,1,0,1,0,0,0,2,0,0,1,4,2,1,1,0,0,0,30,1,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,value/1[boolean],false,221,2,4,1,3,3,4,10,1,0,1,4,2,4,0,0,0,0,3,1,0,2,1,0,0,0,30,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,endObject/0,false,111,2,1,0,1,1,1,4,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,value/1[long],false,258,2,3,0,3,2,5,11,2,0,1,5,3,4,0,0,0,0,0,1,1,1,1,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,beginObject/0,false,101,2,3,0,3,2,3,7,1,0,0,3,2,5,0,0,0,0,1,0,0,1,1,0,0,0,31,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,flush/0,false,333,0,0,0,0,2,1,6,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,21,1,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,beforeName/0,false,407,2,4,1,3,3,4,11,0,1,0,4,1,1,0,2,0,0,1,0,1,0,1,0,0,0,40,2,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,"string/2[com.squareup.moshi.BufferedSink,java.lang.String]",false,360,1,3,3,0,8,4,34,0,6,2,4,0,0,1,3,0,0,2,4,9,1,3,0,0,0,43,8,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,"close/3[int,int,char]",false,133,2,4,2,2,6,3,21,2,1,3,3,1,1,0,5,0,0,2,1,3,2,1,0,0,0,33,2,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,value/1[java.lang.Number],false,271,3,4,0,4,7,7,18,3,1,1,7,4,4,0,1,0,1,4,1,2,2,1,0,0,0,26,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,nullValue/0,false,201,2,6,3,3,4,4,18,2,0,0,4,2,4,0,1,0,0,2,1,1,2,2,0,0,0,33,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,setIndent/1[java.lang.String],false,80,0,0,0,0,2,2,4,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,value/1[double],false,242,2,3,0,3,5,7,14,2,0,1,7,3,4,0,0,0,1,1,1,1,2,1,0,0,0,23,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,(initializer 1),false,49,0,1,0,1,2,1,13,0,1,0,1,0,0,1,0,0,0,8,3,10,0,1,0,0,0,14,8,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,writeDeferredName/0,false,176,1,11,9,2,2,2,7,0,0,0,2,2,2,0,1,0,0,0,0,1,0,1,0,0,0,10,2,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,"open/3[int,int,char]",false,117,2,5,2,3,4,4,12,2,0,3,4,1,2,0,3,0,1,0,4,2,3,1,0,0,0,29,2,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,value/1[java.lang.Boolean],false,234,2,2,0,2,2,3,6,2,0,1,3,2,5,0,1,0,0,0,0,0,0,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,endArray/0,false,96,2,1,0,1,1,1,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,JsonUtf8Writer/1[com.squareup.moshi.BufferedSink],true,71,2,3,2,1,2,1,7,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,23,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,newline/0,false,392,0,3,3,0,3,2,9,1,2,0,2,0,0,1,1,0,0,0,1,2,0,1,0,0,0,10,2,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,value/1[java.lang.String],false,185,2,5,0,5,3,5,14,3,0,1,5,5,4,0,1,0,0,0,1,1,1,1,0,0,0,17,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,beginArray/0,false,86,2,3,0,3,2,3,7,1,0,0,3,2,5,0,0,0,0,1,0,0,1,1,0,0,0,31,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,valueSink/0,false,293,4,4,0,4,2,5,27,1,0,0,5,2,4,0,0,0,0,1,0,0,1,1,1,0,0,54,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,name/1[java.lang.String],false,158,2,5,4,1,7,1,15,1,1,1,1,0,0,0,5,0,1,3,2,3,1,1,0,0,0,32,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\JsonUtf8Writer.java,com.squareup.moshi.JsonUtf8Writer,beforeValue/0,false,423,2,11,8,3,8,5,27,0,1,0,5,1,1,0,0,0,0,4,0,3,0,2,0,0,0,60,2,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintArray/0,false,66,3,10,0,10,1,13,21,0,3,0,13,0,0,0,0,0,0,17,5,3,1,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,repeatedNameIgnored/0,false,105,3,5,0,5,1,8,9,0,2,0,8,0,0,0,0,0,0,3,2,2,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintObject/0,false,26,3,11,0,11,1,14,22,0,3,0,14,0,0,0,0,0,0,23,5,3,1,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,valueFromSource/0,false,117,3,6,0,6,1,10,15,0,2,0,10,0,0,0,0,0,0,8,1,2,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi$Lookup,toString/0,false,419,0,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi$Lookup,fromJson/1[com.squareup.moshi.JsonReader],false,407,3,1,0,1,2,1,4,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi$Lookup,"toJson/2[com.squareup.moshi.JsonWriter,T]",false,413,3,1,0,1,2,1,4,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi$Lookup,"Lookup/3[java.lang.reflect.Type,java.lang.String,java.lang.Object]",true,400,1,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$BuiltInTypesJsonAdapter,fooPrefixStringToString/1[java.lang.String],false,45,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$BuiltInTypesJsonAdapter,fooPrefixStringFromString/1[java.lang.String],false,51,3,1,0,1,2,2,4,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,8,0,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,"toJson/2[com.squareup.moshi.JsonWriter,java.lang.Object]",false,97,3,2,0,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,fromJson/1[com.squareup.moshi.JsonReader],false,92,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,EnvelopeJsonAdapter/1[com.squareup.moshi.JsonAdapter<com.squareup.moshi.recipes.Unwrap.EnvelopeJsonAdapter.Envelope<?>>],true,87,2,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"adapter/2[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>]",false,105,4,13,12,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,(initializer 1),false,49,0,1,0,1,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,Moshi/1[com.squareup.moshi.Moshi.Builder],true,63,2,1,1,0,1,3,7,0,1,1,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,18,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,adapter/1[java.lang.Class<T>],false,79,4,1,0,1,1,1,3,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,adapter/1[java.lang.reflect.Type],false,74,4,25,24,1,1,1,3,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"newAdapterFactory/3[java.lang.reflect.Type,java.lang.Class<? extends java.lang.annotation.Annotation>,com.squareup.moshi.JsonAdapter<T>]",false,270,5,3,2,1,6,2,20,1,0,3,2,0,0,0,3,0,0,5,1,0,1,1,1,0,0,20,8,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,newBuilder/0,false,186,2,7,4,3,3,4,10,1,4,0,4,0,0,2,0,0,0,0,1,4,1,1,0,0,0,18,1,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"cacheKey/2[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>]",false,198,0,1,1,0,2,2,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"adapter/2[java.lang.reflect.Type,java.lang.Class<? extends java.lang.annotation.Annotation>[]]",false,93,5,3,0,3,3,5,10,2,1,2,5,2,4,1,1,0,0,0,2,1,0,1,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"adapter/2[java.lang.reflect.Type,java.lang.Class<? extends java.lang.annotation.Annotation>]",false,84,5,7,5,2,2,3,6,1,0,2,3,1,3,0,1,0,0,1,0,0,0,1,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"adapter/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,java.lang.String]",false,116,8,12,2,10,9,14,38,3,8,3,14,1,1,1,6,1,0,4,1,11,1,3,0,0,0,52,1,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"nextAdapter/3[com.squareup.moshi.JsonAdapter.Factory,java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>]",false,167,5,12,8,4,5,7,13,1,4,3,7,0,0,1,3,0,0,4,2,5,3,2,0,0,0,29,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\Moshi.java,com.squareup.moshi.Moshi,"newAdapterFactory/2[java.lang.reflect.Type,com.squareup.moshi.JsonAdapter<T>]",false,254,4,3,2,1,3,0,10,1,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,14,8,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,run/0,false,24,5,8,1,7,1,7,8,0,4,0,7,0,0,0,0,0,0,6,0,4,1,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,main/1[java.lang.String[]],false,44,1,2,0,2,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\MoshiTest.java,com.squareup.moshi.MoshiTest$LocalizedBooleanAdapter$Anonymous9,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",false,1527,4,46,0,46,4,1,10,2,0,3,1,0,0,1,1,0,1,0,0,0,0,3,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\CustomAdapterWithDelegate.java,com.squareup.moshi.recipes.CustomAdapterWithDelegate,main/1[java.lang.String[]],false,38,1,2,0,2,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\squaremoshi\examples\src\main\java\com\squareup\moshi\recipes\CustomAdapterWithDelegate.java,com.squareup.moshi.recipes.CustomAdapterWithDelegate,run/0,false,27,5,7,1,6,1,5,7,0,2,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$MissingJsonQualifierJsonAdapter,dateToJson/1[java.util.Date],false,285,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\test\java\com\squareup\moshi\JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$MissingJsonQualifierJsonAdapter,jsonToDate/1[long],false,291,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,first/0,false,521,3,0,0,0,2,0,9,1,2,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,7,1,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,getValue/0,false,489,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,equals/1[java.lang.Object],false,501,0,0,0,0,4,3,7,2,1,1,3,0,0,0,4,0,2,1,0,1,0,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,"Node/5[com.squareup.moshi.LinkedHashTreeMap.Node<K,V>,K,int,com.squareup.moshi.LinkedHashTreeMap.Node<K,V>,com.squareup.moshi.LinkedHashTreeMap.Node<K,V>]",true,474,3,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,9,0,0,true
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,setValue/1[V],false,493,1,0,0,0,1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,getKey/0,false,485,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\squaremoshi\moshi\src\main\java\com\squareup\moshi\LinkedHashTreeMap.java,com.squareup.moshi.LinkedHashTreeMap$Node,toString/0,false,516,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
