file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\XMLXsiTypeConverter.java,org.json.XMLXsiTypeConverter,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,class,3,4,1,3,7,2,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,6,5,0,1,0,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,class,7,8,1,7,30,1,0,28,45,0.0,0.0,0.0,10,0,7,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,226,2,6,4,10,0,88,14,25,14,24,2,0,0,0,130,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\JSONException.java,org.json.JSONException,class,0,16,16,0,3,4,1,1,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,34,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyEnumClass.java,org.json.junit.data.MyEnumClass,class,2,3,1,2,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\JSONObject.java,org.json.JSONObject,class,12,41,29,12,423,1,0,188,5026,0.9134615,0.0,0.0,104,25,86,8,4,6,96,0,2,0,3,2,1,1,0,1,3,0,90,1219,189,18,72,30,46,84,91,144,28,118,7,0,1,0,631,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\SingletonEnum.java,org.json.junit.data.SingletonEnum,enum,1,3,2,1,6,1,0,0,11,0.6666667,0.0,0.0,6,1,5,1,0,0,5,0,1,0,2,0,0,2,0,0,0,0,0,22,3,0,0,0,0,0,0,2,0,2,0,0,0,0,37,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\HTTP.java,org.json.HTTP,class,4,5,1,4,15,1,0,17,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,61,2,2,0,0,0,25,0,7,0,7,2,0,0,0,99,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONArrayTest.java,org.json.junit.JSONArrayTest,class,7,7,0,7,128,1,0,119,600,0.8333333,0.0,0.0,36,0,36,0,0,0,36,0,0,0,1,0,0,1,0,0,1,0,53,613,0,6,69,20,32,554,229,141,19,126,1,0,0,0,257,1,0
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\XMLTest.java,org.json.junit.XMLTest$Anonymous7,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
