file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\XMLXsiTypeConverter.java,org.json.XMLXsiTypeConverter,convert/1[java.lang.String],false,65,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getable/0,false,31,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getMyDouble/0,false,24,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getIgnoredInt/0,false,16,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getSomeInt/0,false,19,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getShouldNotBeJSON/0,false,29,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getSomeString/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,getSomeFloat/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,testSkipToSuccessWithStringReader/0,false,234,2,2,0,2,3,9,19,0,4,0,9,0,0,1,0,2,0,2,2,4,1,2,0,0,0,36,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,checkError/1[java.lang.String],false,154,1,2,1,1,2,2,8,0,0,1,2,1,1,0,0,1,0,2,0,0,1,1,0,0,0,15,2,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,testNextBackComboWithNewLines/0,false,259,2,6,0,6,5,11,70,0,7,0,11,0,0,4,0,0,0,39,9,7,5,1,0,0,0,39,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,testValid/0,false,101,4,1,0,1,1,1,22,0,0,0,1,1,2,0,0,0,0,20,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,verifyBackFailureZeroIndex/0,false,57,2,2,0,2,3,7,19,0,2,0,7,0,0,0,0,2,0,5,0,2,1,2,0,0,0,36,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,verifyBackFailureDoubleBack/0,false,80,2,3,0,3,3,8,21,0,2,0,8,0,0,0,0,2,0,5,0,2,1,2,0,0,0,35,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,testSkipToFailureWithBufferedReader/0,false,202,3,2,0,2,4,7,23,0,4,0,7,0,0,1,0,2,0,4,2,5,1,2,0,0,0,52,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,testErrors/0,false,125,2,1,0,1,1,1,5,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,"checkValid/2[java.lang.String,java.lang.Class<?>]",false,133,2,3,1,2,5,5,19,1,1,2,5,1,1,0,2,0,0,3,0,1,2,2,0,0,0,16,2,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,nextValue/1[java.lang.String],false,172,2,6,2,4,3,3,18,1,4,1,3,0,0,0,2,1,0,5,1,4,2,2,0,0,0,50,2,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\JSONException.java,org.json.JSONException,JSONException/1[java.lang.Throwable],true,65,0,9,9,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\JSONException.java,org.json.JSONException,"JSONException/2[java.lang.String,java.lang.Throwable]",true,55,0,8,8,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\main\java\org\json\JSONException.java,org.json.JSONException,JSONException/1[java.lang.String],true,43,0,27,27,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyEnumClass.java,org.json.junit.data.MyEnumClass,getMyEnumField/0,false,16,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\stlearyJSON-java\src\test\java\org\json\junit\data\MyEnumClass.java,org.json.junit.data.MyEnumClass,getMyEnum/0,false,10,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
