file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\shell\StreamGobbler.java,com.termux.shared.shell.StreamGobbler$OnLineListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\shell\ResultSender.java,com.termux.shared.shell.ResultSender,class,13,15,2,13,62,1,0,36,1,0.33333334,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,57,189,21,0,31,3,1,51,3,60,29,22,6,0,0,0,86,1,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\shell\TermuxSession.java,com.termux.shared.shell.TermuxSession,class,11,16,5,11,36,1,0,27,0,0.4857143,0.0,0.0,7,2,5,2,0,0,5,0,0,0,5,1,0,5,0,0,5,0,16,111,10,1,10,0,1,25,8,28,10,14,4,0,1,0,145,1,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\terminal\io\extrakeys\ExtraKeysInfo.java,com.termux.shared.terminal.io.extrakeys.ExtraKeysInfo,class,7,11,4,7,17,1,0,8,9,0.5,0.0,0.0,6,2,4,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,3,70,8,4,0,0,0,5,4,22,0,15,3,0,0,0,176,1,0
D:\trabCKMetrics\repos\termuxtermux-app\terminal-emulator\src\main\java\com\termux\terminal\TerminalSession.java,com.termux.terminal.TerminalSession$Anonymous2,anonymous,2,2,0,2,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1,1,0,0,3,3,0,3,3,0,0,0,18,-1,0
D:\trabCKMetrics\repos\termuxtermux-app\terminal-emulator\src\main\java\com\termux\terminal\TerminalSession.java,com.termux.terminal.TerminalSession$Anonymous1,anonymous,2,2,0,2,5,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,1,0,0,3,3,0,3,3,0,0,0,25,-1,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\models\ResultData.java,com.termux.shared.models.ResultData,class,7,11,4,7,57,1,0,30,264,0.79310346,0.0,0.0,29,5,29,0,0,0,29,0,0,7,4,0,4,0,0,0,2,0,20,147,35,4,11,0,0,40,10,10,5,10,4,0,0,0,58,1,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\terminal\TermuxTerminalViewClientBase.java,com.termux.shared.terminal.TermuxTerminalViewClientBase,class,5,6,1,5,24,1,1,7,276,0.0,0.0,0.0,24,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,7,70,13,0,0,0,0,0,1,0,0,0,0,0,0,0,64,1,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\termux\TermuxConstants.java,com.termux.shared.termux.TermuxConstants$RESULT_SENDER,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,11,0,0,0,0,0,9,0,9,0,9,0,0,0,0,97,25,0
D:\trabCKMetrics\repos\termuxtermux-app\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,class,9,14,5,9,18,1,0,15,4,0.725,0.0,0.0,4,4,4,0,0,0,4,0,0,0,10,10,9,1,0,0,10,0,4,69,7,0,3,0,0,4,9,14,1,13,1,0,0,0,110,1,0
