file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,class,4,7,3,4,7,2,0,4,7,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,35,5,0,0,0,0,3,0,5,0,5,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\util\work\DefaultWorkExecutor.java,io.onedev.server.util.work.DefaultWorkExecutor$Anonymous1,anonymous,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\page\project\issues\detail\IssueBuildsPage.java,io.onedev.server.web.page.project.issues.detail.IssueBuildsPage$Anonymous2,anonymous,8,8,0,8,3,1,0,2,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,1,0,0,11,-1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\page\project\issues\detail\IssueBuildsPage.java,io.onedev.server.web.page.project.issues.detail.IssueBuildsPage$Anonymous1,anonymous,4,4,0,4,3,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,3,0,2,0,0,0,0,21,-1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\editable\buildspec\param\spec\ParamSpecListEditSupport.java,io.onedev.server.web.editable.buildspec.param.spec.ParamSpecListEditSupport,class,6,6,0,6,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,32,3,0,1,0,0,1,1,1,0,1,2,1,0,0,14,1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\page\admin\issuesetting\fieldspec\IssueFieldListPage.java,io.onedev.server.web.page.admin.issuesetting.fieldspec.IssueFieldListPage,class,17,19,2,17,4,6,0,10,4,0.5,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,133,1,0,0,0,0,9,0,3,0,3,0,7,0,0,42,1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\page\project\commits\ProjectCommitsPage.java,io.onedev.server.web.page.project.commits.ProjectCommitsPage$Anonymous3$Anonymous4$Anonymous5$Anonymous7,anonymous,9,9,0,9,3,1,0,9,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,1,0,0,0,0,2,0,1,1,0,0,0,19,-1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\page\project\commits\ProjectCommitsPage.java,io.onedev.server.web.page.project.commits.ProjectCommitsPage$Anonymous3$Anonymous4$Anonymous5$Anonymous6,anonymous,9,9,0,9,2,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,0,0,3,0,2,1,0,0,0,20,-1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\component\sideinfo\SideInfoPanel.java,io.onedev.server.web.component.sideinfo.SideInfoPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\theonedevonedev\server-core\src\main\java\io\onedev\server\web\editable\buildspec\job\jobdependency\JobDependencyListEditPanel.java,io.onedev.server.web.editable.buildspec.job.jobdependency.JobDependencyListEditPanel$Anonymous6,anonymous,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
