file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\trinodbtrino\lib\trino-orc\src\test\java\io\trino\orc\BenchmarkColumnReaders.java,io.trino.orc.BenchmarkColumnReaders$ShortDecimalNoNullBenchmarkData,innerclass,5,5,0,5,3,2,0,6,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,4,2,1,2,1,0,0,0,21,9,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\main\java\io\trino\sql\planner\iterative\rule\PruneSortColumns.java,io.trino.sql.planner.iterative.rule.PruneSortColumns,class,8,10,2,8,2,2,0,9,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\trinodbtrino\plugin\trino-prometheus\src\test\java\io\trino\plugin\prometheus\TestPrometheusSplit.java,io.trino.plugin.prometheus.TestPrometheusSplit,class,33,34,1,33,29,1,0,89,327,0.91358024,0.0,0.0,27,7,20,7,0,0,20,0,0,0,6,4,0,6,0,0,5,0,111,256,7,0,0,0,11,76,120,154,34,154,0,0,0,2,240,1,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\test\java\io\trino\server\TestNodeResource.java,io.trino.server.TestNodeResource,class,8,8,0,8,4,1,0,13,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,1,19,0,0,0,0,0,4,0,4,0,4,0,0,0,0,33,1,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\main\java\io\trino\sql\gen\AndCodeGenerator.java,io.trino.sql.gen.AndCodeGenerator,class,10,11,1,10,3,1,0,23,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,29,1,0,1,0,0,14,3,9,0,9,0,0,0,0,54,1,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\main\java\io\trino\server\security\AuthenticationFilter.java,io.trino.server.security.AuthenticationFilter,class,12,15,3,12,9,1,0,30,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,4,0,10,54,2,1,1,1,0,8,0,10,0,11,4,0,0,2,54,1,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\main\java\io\trino\metadata\PolymorphicScalarFunctionBuilder.java,io.trino.metadata.PolymorphicScalarFunctionBuilder$ChoiceBuilder,innerclass,7,7,0,7,7,1,0,14,0,0.56000006,0.0,0.0,5,0,4,1,0,0,4,0,0,0,5,0,0,5,0,0,3,0,5,33,4,0,2,0,0,5,0,9,0,6,1,0,0,0,47,9,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\main\java\io\trino\operator\aggregation\CountAggregation.java,io.trino.operator.aggregation.CountAggregation,class,9,10,1,9,5,1,0,3,10,0.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,2,0,3,0,0,0,0,0,14,17,0
D:\trabCKMetrics\repos\trinodbtrino\core\trino-main\src\main\java\io\trino\sql\planner\iterative\rule\AddExchangesBelowPartialAggregationOverGroupIdRuleSet.java,io.trino.sql.planner.iterative.rule.AddExchangesBelowPartialAggregationOverGroupIdRuleSet$AddExchangesBelowExchangePartialAggregationGroupId,innerclass,9,9,0,9,2,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,0,0,0,0,3,0,4,1,0,0,1,38,2,0
D:\trabCKMetrics\repos\trinodbtrino\lib\trino-orc\src\main\java\io\trino\orc\stream\StreamDataOutput.java,io.trino.orc.stream.StreamDataOutput,class,5,32,27,5,7,1,0,9,0,0.4166667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,3,28,4,0,1,0,0,3,0,3,0,4,1,0,0,1,21,17,0
