file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_out\LoggedOutInteractor.java,LoggedOutPresenter,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\uberRIBs\android\tooling\utils\intellij-broadcast-core\src\main\java\com\uber\debug\broadcast\core\DebugBroadcastReceiver.java,com.uber.debug.broadcast.core.DebugBroadcastReceiver$Handler,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\uberRIBs\android\libraries\rib-compiler-test\src\test\resources\fixtures\TestForcedBasicInteractor.java,fixtures.TestForcedBasicInteractor,class,2,2,0,2,2,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\ScoreStream.java,com.uber.rib.root.logged_in.ScoreStream,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\SampleApplication.java,SampleApplication,class,1,5,0,5,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeInteractor.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeInteractor,class,10,18,8,10,3,2,0,5,0,0.5,NaN,NaN,2,0,0,1,1,0,1,0,0,0,5,0,0,3,0,2,2,0,0,62,0,0,1,0,0,2,0,3,0,5,1,1,2,0,29,1,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,class,10,15,5,10,12,2,0,10,21,0.6,0.0,0.0,10,0,9,0,1,0,10,0,0,0,2,0,0,2,0,0,0,0,0,56,1,2,0,0,0,6,9,12,2,9,2,1,0,0,52,1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_in\off_game\OffGameRouter.java,OffGameRouter,class,1,7,6,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\MutableScoreStream.java,com.uber.rib.root.logged_in.MutableScoreStream,class,4,4,0,4,5,1,0,11,0,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,1,0,0,1,0,0,1,0,0,22,1,1,0,0,0,0,3,3,1,3,2,0,0,0,17,0,0
D:\trabCKMetrics\repos\uberRIBs\android\tooling\rib-intellij-plugin\native\intellij-broadcast-rib\src\main\java\com\uber\debug\broadcast\rib\RibHierarchyPayload.java,com.uber.debug.broadcast.rib.RibHierarchyPayload$RibActivity,innerclass,2,2,0,2,2,1,0,2,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,7,9,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_out\LoggedOutView.java,LoggedOutView$Anonymous1,anonymous,2,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\uberRIBs\android\tooling\rib-intellij-plugin\src\main\java\com\uber\presidio\intellij_plugin\action\rib\GenerateAction.java,com.uber.presidio.intellij_plugin.action.rib.GenerateAction$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,-1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_in\random_winner\RandomWinnerInteractor.java,com.uber.rib.root.logged_in.random_winner.RandomWinnerInteractor$RandomWinnerPresenter,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\RootBuilder.java,com.uber.rib.root.RootBuilder$Module,innerclass,13,13,0,13,3,1,0,0,3,0.0,0.0,0.0,3,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1033,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\RootActivity.java,RootActivity,class,13,13,0,13,6,1,0,14,1,0.33333334,0.0,0.0,3,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,35,1,0,2,1,0,3,0,4,0,4,2,2,1,0,42,1,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeInteractor.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeInteractor$TicTacToePresenter,interface,2,2,0,2,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
D:\trabCKMetrics\repos\uberRIBs\android\libraries\rib-compiler-test\src\test\resources\fixtures\TestAnnotatedInteractor.java,fixtures.TestAnnotatedInteractor,class,1,1,0,1,2,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,3,0,1,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\off_game\OffGameBuilder.java,com.uber.rib.root.logged_in.off_game.OffGameBuilder$Component,interface,6,6,0,6,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\BoardCoordinate.java,com.uber.rib.root.logged_in.tic_tac_toe.BoardCoordinate,class,0,4,4,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_out\LoggedOutInteractor.java,com.uber.rib.root.logged_out.LoggedOutInteractor$LoggedOutPresenter,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\RootActivity.java,RootActivity$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\uberRIBs\android\tooling\rib-intellij-plugin\src\main\java\com\uber\presidio\intellij_plugin\generator\rib\ViewGenerator.java,com.uber.presidio.intellij_plugin.generator.rib.ViewGenerator,class,1,2,1,1,2,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,9,1,0,0,0,0,2,0,1,0,1,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\LoggedInInteractor.java,TicTacToeListener,innerclass,3,4,1,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\LoggedInBuilder.java,com.uber.rib.root.logged_in.LoggedInBuilder$Module,innerclass,12,12,0,12,3,1,0,0,3,0.0,0.0,0.0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1033,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial2\src\test\java\com\uber\rib\root\logged_out\LoggedOutRouterTest.java,com.uber.rib.root.logged_out.LoggedOutRouterTest,class,7,7,0,7,1,2,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,1,0,3,0,0,0,9,0,0,0,0,0,1,0,0,0,4,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\test\java\com\uber\rib\root\logged_in\off_game\OffGameInteractorTest.java,OffGameInteractorTest,class,9,9,0,9,1,1,0,2,0,0.14285715,NaN,NaN,1,0,1,0,0,0,1,0,0,0,7,0,0,3,0,4,2,0,0,13,0,0,0,0,0,2,0,3,0,7,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_out\LoggedOutView.java,com.uber.rib.root.logged_out.LoggedOutView$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\RootActivity.java,RootActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
