file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_out\LoggedOutInteractor.java,LoggedOutPresenter,playerNames/0,false,61,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tooling\utils\intellij-broadcast-core\src\main\java\com\uber\debug\broadcast\core\DebugBroadcastReceiver.java,com.uber.debug.broadcast.core.DebugBroadcastReceiver$Handler,handle/1[com.uber.debug.broadcast.core.DebugBroadcastRequest],false,94,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tooling\utils\intellij-broadcast-core\src\main\java\com\uber\debug\broadcast\core\DebugBroadcastReceiver.java,com.uber.debug.broadcast.core.DebugBroadcastReceiver$Handler,canHandle/1[com.uber.debug.broadcast.core.DebugBroadcastRequest],false,92,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\uberRIBs\android\libraries\rib-compiler-test\src\test\resources\fixtures\TestForcedBasicInteractor.java,fixtures.TestForcedBasicInteractor,TestForcedBasicInteractor/0,true,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
D:\trabCKMetrics\repos\uberRIBs\android\libraries\rib-compiler-test\src\test\resources\fixtures\TestForcedBasicInteractor.java,fixtures.TestForcedBasicInteractor,"create/3[fixtures.Presenter,java.lang.Boolean,java.lang.Integer]",false,12,2,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\ScoreStream.java,com.uber.rib.root.logged_in.ScoreStream,scores/0,false,22,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeInteractor.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeInteractor,updateCurrentPlayer/0,false,79,1,3,2,1,2,1,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,2,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeInteractor.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeInteractor,didBecomeActive/1[com.uber.rib.root.logged_in.tic_tac_toe.Bundle],false,41,5,2,0,2,1,4,37,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,20,4,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,"TicTacToeView/3[com.uber.rib.root.logged_in.tic_tac_toe.Context,com.uber.rib.root.logged_in.tic_tac_toe.AttributeSet,int]",true,45,3,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,setCurrentPlayerName/1[java.lang.String],false,111,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,addCross/1[com.uber.rib.root.logged_in.tic_tac_toe.BoardCoordinate],false,97,2,2,0,2,1,4,5,0,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,addNought/1[com.uber.rib.root.logged_in.tic_tac_toe.BoardCoordinate],false,104,2,2,0,2,1,4,5,0,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,setPlayerWon/1[java.lang.String],false,116,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,onFinishInflate/0,false,51,2,0,0,0,1,2,8,0,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,11,4,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,"TicTacToeView/2[com.uber.rib.root.logged_in.tic_tac_toe.Context,com.uber.rib.root.logged_in.tic_tac_toe.AttributeSet]",true,41,3,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,setPlayerTie/0,false,121,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,TicTacToeView/1[com.uber.rib.root.logged_in.tic_tac_toe.Context],true,37,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\logged_in\tic_tac_toe\TicTacToeView.java,com.uber.rib.root.logged_in.tic_tac_toe.TicTacToeView,squareClicks/0,false,76,3,0,0,0,3,4,16,1,5,0,4,0,0,2,0,0,0,0,4,5,0,2,1,0,0,14,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_in\off_game\OffGameRouter.java,OffGameRouter,"OffGameRouter/3[OffGameView,OffGameInteractor,OffGameBuilder.Component]",true,24,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\MutableScoreStream.java,com.uber.rib.root.logged_in.MutableScoreStream,"MutableScoreStream/2[java.lang.String,java.lang.String]",true,27,0,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\MutableScoreStream.java,com.uber.rib.root.logged_in.MutableScoreStream,addVictory/1[java.lang.String],false,31,1,0,0,0,3,8,13,0,2,1,8,0,0,1,0,0,0,0,1,2,1,2,0,0,0,11,0,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial3-completed\src\main\java\com\uber\rib\root\logged_in\MutableScoreStream.java,com.uber.rib.root.logged_in.MutableScoreStream,scores/0,false,47,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tooling\rib-intellij-plugin\native\intellij-broadcast-rib\src\main\java\com\uber\debug\broadcast\rib\RibHierarchyPayload.java,com.uber.debug.broadcast.rib.RibHierarchyPayload$RibActivity,"RibActivity/2[com.uber.debug.broadcast.rib.Activity,com.uber.debug.broadcast.rib.RibHierarchyPayload.RibNode]",true,63,2,1,1,0,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tooling\rib-intellij-plugin\native\intellij-broadcast-rib\src\main\java\com\uber\debug\broadcast\rib\RibHierarchyPayload.java,com.uber.debug.broadcast.rib.RibHierarchyPayload$RibActivity,getRootRib/0,false,68,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tutorials\tutorial4\src\main\java\com\uber\rib\root\logged_out\LoggedOutView.java,LoggedOutView$Anonymous1,apply/1[Object],false,65,2,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\tooling\rib-intellij-plugin\src\main\java\com\uber\presidio\intellij_plugin\action\rib\GenerateAction.java,com.uber.presidio.intellij_plugin.action.rib.GenerateAction$Anonymous1,run/0,false,132,0,2,0,2,1,2,14,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,1,0,false
D:\trabCKMetrics\repos\uberRIBs\android\demos\flipper\src\main\java\com\uber\rib\root\RootBuilder.java,com.uber.rib.root.RootBuilder$Module,loggedOutListener/1[com.uber.rib.root.RootInteractor],false,73,5,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,false
