file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,class,16,17,1,16,14,2,0,45,15,0.0,0.0,0.0,6,0,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,76,4,1,0,1,0,4,0,26,3,25,3,0,0,0,64,1,2
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\fastdfs\FastDfsFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.fastdfs.FastDfsFileStrategyImpl,class,11,11,0,11,4,2,0,23,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,28,2,0,0,0,0,1,0,5,1,6,1,0,0,1,35,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-msg\lamp-sms-biz\src\main\java\top\tangyh\lamp\sms\strategy\impl\SmsTencentStrategy.java,top.tangyh.lamp.sms.strategy.impl.SmsTencentStrategy,class,10,10,0,10,5,2,0,20,1,0.5,0.0,0.0,2,0,1,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,4,61,2,1,0,1,0,75,2,6,0,6,2,0,0,0,39,1,2
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-public\lamp-file-sdk\src\main\java\top\tangyh\lamp\file\controller\AppendixController.java,top.tangyh.lamp.file.controller.AppendixController,class,12,12,0,12,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,7,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-oauth\lamp-oauth-api\src\main\java\top\tangyh\lamp\oauth\api\hystrix\OrgApiFallback.java,top.tangyh.lamp.oauth.api.hystrix.OrgApiFallback,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-tenant\lamp-tenant-biz\src\main\java\top\tangyh\lamp\tenant\strategy\impl\ColumnInitSystemStrategy.java,top.tangyh.lamp.tenant.strategy.impl.ColumnInitSystemStrategy,class,24,25,1,24,11,1,0,58,47,0.85579926,0.0,0.0,11,0,3,8,0,0,3,0,0,0,29,20,0,29,0,0,29,0,0,345,11,0,0,0,0,530,42,83,0,94,0,0,0,2,108,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-server\src\main\java\top\tangyh\lamp\file\config\ExceptionConfiguration.java,top.tangyh.lamp.file.config.ExceptionConfiguration,class,9,9,0,9,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-public\lamp-common\src\main\java\top\tangyh\lamp\common\constant\AppendixType.java,top.tangyh.lamp.common.constant.AppendixType$Authority,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,3,0,3,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-public\lamp-common\src\main\java\top\tangyh\lamp\common\cache\tenant\TenantCodeCacheKeyBuilder.java,top.tangyh.lamp.common.cache.tenant.TenantCodeCacheKeyBuilder,class,1,2,1,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-authority\lamp-authority-biz\src\main\java\top\tangyh\lamp\authority\service\core\StationService.java,top.tangyh.lamp.authority.service.core.StationService,interface,5,9,4,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-tenant\lamp-tenant-entity\src\main\java\top\tangyh\lamp\tenant\strategy\InitSystemStrategy.java,top.tangyh.lamp.tenant.strategy.InitSystemStrategy,interface,1,4,3,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
