file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,"uploadFile/3[top.tangyh.lamp.file.entity.File,top.tangyh.lamp.file.strategy.impl.ali.MultipartFile,java.lang.String]",false,45,9,3,0,3,3,27,25,0,8,3,27,0,0,0,0,0,0,2,0,9,2,1,0,0,0,26,4,1,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,createOss/0,false,123,3,2,2,0,1,5,7,1,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,1,0,true
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,"AliFileStrategyImpl/2[top.tangyh.lamp.file.properties.FileServerProperties,top.tangyh.lamp.file.dao.FileMapper]",true,40,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,findUrl/1[java.util.List<top.tangyh.lamp.file.domain.FileGetUrlBO>],false,90,4,3,0,3,6,19,24,1,6,1,19,2,2,1,0,1,0,1,0,6,0,3,0,0,0,24,1,1,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,"generatePresignedUrl/2[java.lang.String,java.lang.String]",false,138,3,2,1,1,1,6,7,1,4,2,6,1,1,0,0,0,0,0,0,4,1,0,0,0,0,18,2,0,true
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\ali\AliFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.ali.AliFileStrategyImpl,delete/1[top.tangyh.lamp.file.domain.FileDeleteBO],false,80,4,0,0,0,2,10,8,1,3,1,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\fastdfs\FastDfsFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.fastdfs.FastDfsFileStrategyImpl,"FastDfsFileStrategyImpl/3[top.tangyh.lamp.file.properties.FileServerProperties,top.tangyh.lamp.file.strategy.impl.fastdfs.FastFileStorageClient,top.tangyh.lamp.file.dao.FileMapper]",true,32,3,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\fastdfs\FastDfsFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.fastdfs.FastDfsFileStrategyImpl,"uploadFile/3[top.tangyh.lamp.file.entity.File,top.tangyh.lamp.file.strategy.impl.fastdfs.MultipartFile,java.lang.String]",false,38,3,0,0,0,1,13,7,0,1,3,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,4,0,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\fastdfs\FastDfsFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.fastdfs.FastDfsFileStrategyImpl,delete/1[top.tangyh.lamp.file.domain.FileDeleteBO],false,47,1,0,0,0,1,3,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\zuihoulamp-cloud\lamp-file\lamp-file-biz\src\main\java\top\tangyh\lamp\file\strategy\impl\fastdfs\FastDfsFileStrategyImpl.java,top.tangyh.lamp.file.strategy.impl.fastdfs.FastDfsFileStrategyImpl,findUrl/1[java.util.List<top.tangyh.lamp.file.domain.FileGetUrlBO>],false,53,2,1,0,1,1,11,10,1,4,1,11,0,0,0,0,0,0,0,0,3,0,1,0,0,1,11,1,0,false
